자치구,합계,실화_전기적요인,실화_기계적요인,실화_화학적요인,실화_가스누출(폭발),실화_교통사고,실화_부주의,실화_기타,자연적인요인,방화명확,방화의심,발화요인(미상),실화합계,위도,경도
종로구,254,65,8,2,1,2,137,4,1,6,1,27,219,37.5990998,126.98614930000001
중구,275,70,26,1,1,0,146,0,0,4,3,24,244,37.557945200000006,126.99419040000001
용산구,211,42,13,0,2,2,106,0,0,2,3,41,165,37.5311008,126.98107420000001
성동구,212,50,13,5,0,4,113,1,0,1,0,25,186,37.550675299999995,127.0409622
광진구,203,41,9,2,1,0,121,1,0,1,1,26,175,37.5481445,127.0857528
동대문구,203,45,17,4,1,1,107,0,0,2,2,24,175,37.5838012,127.0507003
중랑구,254,59,7,1,2,0,166,0,0,1,3,15,235,37.5953795,127.0939669
성북구,215,56,12,1,0,0,114,0,0,5,0,27,183,37.606991,127.0232185
강북구,203,57,4,2,2,0,115,0,3,2,2,16,180,37.646995399999994,127.0147158
도봉구,237,30,28,1,1,0,156,1,0,2,1,17,217,37.6658609,127.0317674
노원구,229,54,20,1,0,3,122,0,1,4,7,17,200,37.655264,127.07712009999999
은평구,214,47,13,0,0,0,124,0,0,0,4,26,184,37.6176125,126.9227004
서대문구,229,41,16,0,1,0,147,5,0,5,6,8,210,37.5820369,126.93566650000001
마포구,254,70,22,5,0,2,138,0,0,1,1,15,237,37.562290600000004,126.9087803
양천구,219,66,5,1,1,0,131,0,1,1,3,10,204,37.5270616,126.8561534
강서구,383,78,24,1,1,0,243,0,2,7,5,22,347,37.5657617,126.8226561
구로구,263,56,12,1,1,0,168,0,0,4,7,14,238,37.4954856,126.858121
금천구,168,45,13,1,0,0,99,0,0,1,2,7,158,37.460096899999996,126.90015459999998
영등포구,258,51,29,0,1,2,131,3,0,5,6,30,217,37.520641,126.91392420000001
동작구,205,54,6,2,0,0,123,1,1,3,4,11,186,37.4965037,126.94430729999999
관악구,337,84,8,1,3,1,197,1,1,9,6,26,295,37.465399299999994,126.9438071
서초구,242,71,10,5,0,4,120,0,1,2,4,25,210,37.4769528,127.03781029999999
강남구,436,115,34,6,2,1,238,3,0,5,2,30,399,37.4959854,127.0664091
송파구,340,91,16,0,2,3,186,3,0,5,2,32,301,37.5048534,127.1144822
강동구,324,87,14,0,4,0,191,1,1,6,8,12,297,37.549207700000004,127.1464824
