기간,자치구,합계,실화_전기적요인,실화_기계적요인,실화_화학적요인,실화_가스누출(폭발),실화_교통사고,실화_부주의,실화_기타,자연적인요인,방화명확,방화의심,발화요인(미상)
2018,종로구,254,65,8,2,1,2,137,4,1,6,1,27
2018,중구,275,70,26,1,1,-,146,-,-,4,3,24
2018,용산구,211,42,13,-,2,2,106,-,-,2,3,41
2018,성동구,212,50,13,5,-,4,113,1,-,1,-,25
2018,광진구,203,41,9,2,1,-,121,1,-,1,1,26
2018,동대문구,203,45,17,4,1,1,107,-,-,2,2,24
2018,중랑구,254,59,7,1,2,-,166,-,-,1,3,15
2018,성북구,215,56,12,1,-,-,114,-,-,5,-,27
2018,강북구,203,57,4,2,2,-,115,-,3,2,2,16
2018,도봉구,237,30,28,1,1,-,156,1,-,2,1,17
2018,노원구,229,54,20,1,-,3,122,-,1,4,7,17
2018,은평구,214,47,13,-,-,-,124,-,-,-,4,26
2018,서대문구,229,41,16,-,1,-,147,5,-,5,6,8
2018,마포구,254,70,22,5,-,2,138,-,-,1,1,15
2018,양천구,219,66,5,1,1,-,131,-,1,1,3,10
2018,강서구,383,78,24,1,1,-,243,-,2,7,5,22
2018,구로구,263,56,12,1,1,-,168,-,-,4,7,14
2018,금천구,168,45,13,1,-,-,99,-,-,1,2,7
2018,영등포구,258,51,29,-,1,2,131,3,-,5,6,30
2018,동작구,205,54,6,2,-,-,123,1,1,3,4,11
2018,관악구,337,84,8,1,3,1,197,1,1,9,6,26
2018,서초구,242,71,10,5,-,4,120,-,1,2,4,25
2018,강남구,436,115,34,6,2,1,238,3,-,5,2,30
2018,송파구,340,91,16,-,2,3,186,3,-,5,2,32
2018,강동구,324,87,14,-,4,-,191,1,1,6,8,12
