,기간,자치구,발생_합계,발생_실화,발생_방화,발생_기타,소실_동수,소실_이재가구수,소실_면적,피해액_합계,피해액_부동산,피해액_동산,재산피해경감액,인명피해_합계,인명피해_사망,인명피해_부상,이재민수,구조인원
2,2018,종로구,254,219,7,28,20,43,909,"574,300","279,955","294,345","12,190,920",36,14,22,44,60
3,2018,중구,275,244,7,24,63,8,"1,425","1,257,005","558,830","698,175","45,635,102",23,0,23,19,44
4,2018,용산구,211,165,5,41,21,1,405,"394,903","123,288","271,615","25,313,037",7,1,6,1,15
5,2018,성동구,212,186,1,25,40,2,580,"616,085","162,939","453,146","5,379,167",12,0,12,3,18
6,2018,광진구,203,175,2,26,30,0,"1,064","658,185","315,690","342,495","12,607,354",7,0,7,0,53
7,2018,동대문구,203,175,4,24,93,0,"1,275","709,487","179,873","529,614","9,457,804",4,1,3,0,61
8,2018,중랑구,254,235,4,15,25,0,893,"201,421","103,281","98,140","11,622,135",10,2,8,0,67
9,2018,성북구,215,183,5,27,40,6,898,"487,565","184,258","303,307","15,690,182",10,0,10,20,22
10,2018,강북구,203,180,4,19,29,1,211,"216,838","104,658","112,180","9,596,171",6,4,2,3,11
11,2018,도봉구,237,217,3,17,18,8,346,"201,498","85,113","116,385","9,832,652",8,0,8,24,11
12,2018,노원구,229,200,11,18,15,5,"1,299","331,000","105,994","225,006","6,840,069",12,2,10,12,37
13,2018,은평구,214,184,4,26,12,2,872,"419,503","217,662","201,841","6,622,784",15,5,10,5,17
14,2018,서대문구,229,210,11,8,22,2,639,"7,877,501","236,471","7,641,030","170,875,389",13,4,9,61,25
15,2018,마포구,254,237,2,15,56,0,725,"282,984","132,459","150,525","12,091,647",6,2,4,0,23
16,2018,양천구,219,204,4,11,15,1,388,"357,569","136,819","220,750","24,451,853",12,1,11,2,33
17,2018,강서구,383,347,12,24,13,16,"1,062","393,401","196,115","197,286","20,303,007",20,2,18,25,13
18,2018,구로구,263,238,11,14,17,0,358,"239,327","74,308","165,019","14,988,322",5,2,3,0,31
19,2018,금천구,168,158,3,7,7,1,476,"203,806","55,351","148,455","19,353,917",8,0,8,2,37
20,2018,영등포구,258,217,11,30,42,25,"1,124","704,193","228,065","476,128","27,191,823",27,4,23,34,41
21,2018,동작구,205,186,7,12,21,17,359,"312,925","103,520","209,405","7,302,184",13,4,9,19,15
22,2018,관악구,337,295,15,27,109,11,"1,772","816,562","395,475","421,087","9,952,527",21,1,20,21,53
23,2018,서초구,242,210,6,26,48,3,"2,223","848,067","201,149","646,918","18,257,199",15,0,15,3,63
24,2018,강남구,436,399,7,30,134,1,"1,631","1,624,983","670,429","954,554","87,651,462",23,0,23,1,36
25,2018,송파구,340,301,7,32,84,16,"2,717","970,251","390,994","579,257","16,546,317",28,0,28,42,99
26,2018,강동구,324,297,14,13,59,8,"3,358","540,625","236,181","304,444","7,235,347",19,4,15,19,26
